,target_city,top1,top2,top3,top4,top5
169,3515103,3537107,3512803,3524709,3531100,3511508
170,3515129,3530003,3515905,3541802,3520707,3544400
171,3515152,3512407,3539103,3521408,3535101,3501152
172,3515186,3554508,3513108,3546306,3508603,3519303
173,3515194,3553856,3512506,3551207,3537701,3547007
174,3515202,3535200,3534203,3543808,3519006,3551108
175,3515301,3506201,3528304,3532157,3542800,3536901
176,3515350,3503406,3550001,3517802,3512902,3504909
177,3515400,3521309,3504206,3512308,3545001,3525508
178,3515509,3506359,3527108,3506102,3549706,3524303
179,3515608,3501400,3527702,3509452,3532801,3500808
180,3515657,3549300,3544707,3547106,3503158,3522158
181,3515707,3539806,3525003,3529401,3523107,3505708
182,3515806,3503356,3532868,3536570,3507209,3555901
183,3515905,3530003,3515129,3554607,3541802,3544400
184,3516002,3522802,3542909,3507407,3528809,3521903
185,3516101,3534500,3540309,3547403,3543238,3546108
186,3516200,3506003,3526902,3554102,3530607,3524402
187,3516309,3556503,3519071,3515004,3505708,3522505
188,3516408,3522208,3543303,3509601,3509007,3556453
189,3516507,3549201,3537156,3527256,3513850,3551306
190,3516606,3544608,3519204,3539608,3518859,3512902
191,3516705,3500303,3525102,3505203,3500105,3552106
192,3516804,3517307,3503000,3537701,3530904,3515194
193,3516853,3526308,3532058,3518909,3541653,3539608
194,3516903,3519105,3526506,3542503,3519253,3513207
195,3517000,3537206,3517901,3550001,3504909,3506904
196,3517109,3532108,3555505,3508306,3534005,3531605
197,3517208,3519402,3556602,3506300,3548609,3556008
198,3517307,3537701,3553856,3516804,3503000,3515194
199,3517406,3541307,3500709,3510203,3518206,3550209
200,3517505,3527405,3523305,3531506,3501301,3538600
201,3517604,3545001,3508702,3512001,3535408,3534906
202,3517703,3532405,3536208,3523305,3553807,3539202
203,3517802,3519907,3552304,3518107,3515350,3512902
204,3517901,3504909,3537206,3517000,3550001,3506904
205,3518008,3555703,3531001,3525409,3505005,3543600
206,3518107,3552007,3500550,3505351,3543501,3517802
207,3518206,3550209,3510807,3530102,3500709,3547502
208,3518305,3508603,3513108,3506607,3546306,3520400
209,3518404,3522109,3549102,3530805,3530706,3529302
210,3518503,3523602,3526001,3521309,3504206,3521903
211,3518602,3534302,3544004,3525201,3556404,3546603
212,3518701,3541000,3551009,3552403,3501608,3548708
213,3518800,3547809,3523107,3505708,3515004,3519071
214,3518859,3536406,3516606,3519204,3503406,3512902
215,3518909,3532058,3544806,3545704,3516853,3540259
216,3519006,3532827,3543808,3532603,3542503,3515202
217,3519055,3501152,3507100,3505609,3521408,3520004
218,3519071,3516309,3515004,3556503,3505708,3547809
219,3519105,3516903,3526506,3544202,3510708,3541703
220,3519204,3544806,3516606,3536406,3544608,3542008
221,3519253,3542503,3513207,3519808,3532827,3543253
222,3519303,3546306,3508603,3513108,3534609,3518305
223,3519402,3514502,3506300,3517208,3550803,3556602
224,3519501,3528106,3532801,3505104,3534807,3549508
225,3519600,3537305,3553708,3526803,3542602,3540606
226,3519709,3530508,3504503,3526803,3505906,3537305
227,3519808,3513207,3543253,3547908,3519253,3533601
228,3519907,3517802,3552304,3536604,3518107,3552007
229,3520004,3507100,3505302,3519055,3546702,3554805
230,3520103,3509254,3526209,3538808,3538600,3539202
231,3520202,3549508,3554706,3534807,3528106,3543709
232,3520301,3542206,3529203,3531902,3554300,3507902
233,3520400,3506607,3554508,3518305,3539509,3513108
234,3520426,3553609,3509304,3546900,3529807,3514007
235,3520442,3509403,3514106,3537909,3553302,3547502
236,3520509,3513009,3545803,3547304,3556206,3536505
237,3520608,3548401,3525805,3532702,3554904,3500758
238,3520707,3541109,3533700,3500907,3512704,3540408
239,3520806,3539905,3553203,3526605,3533254,3546504
240,3520905,3532900,3531506,3528007,3538501,3556354
241,3521002,3505609,3528403,3505302,3521408,3507100
242,3521101,3523701,3532504,3537503,3521606,3535705
243,3521150,3507308,3523701,3546504,3553203,3532702
244,3521200,3527900,3528700,3549607,3538303,3503356
245,3521309,3504206,3515400,3512308,3518503,3539400
246,3521408,3501152,3505609,3521002,3515152,3519055
247,3521507,3542701,3534807,3549508,3528106,3532801
248,3521606,3537503,3553906,3521101,3532504,3540507
249,3521705,3530201,3501004,3508009,3508801,3529906
250,3521804,3502200,3537404,3502705,3529203,3507902
251,3521903,3522802,3507407,3516002,3542909,3539400
252,3522000,3529609,3500204,3508900,3508207,3508306
253,3522109,3549102,3530805,3518404,3529302,3501905
254,3522158,3540101,3547106,3541653,3531605,3508306
255,3522208,3516408,3543303,3509601,3509007,3556453
256,3522307,3507506,3505500,3502804,3518404,3504503
257,3522406,3504503,3519709,3530508,3505500,3505906
258,3522505,3551009,3556503,3518701,3541000,3516309
259,3522604,3527108,3529302,3506359,3501905,3515509
260,3522653,3525607,3501202,3509809,3539707,3545506
261,3522703,3533502,3535507,3546405,3525706,3541307
262,3522802,3521903,3507407,3516002,3542909,3528809
263,3522901,3538204,3553005,3511706,3511607,3532009
264,3523008,3555505,3508207,3508900,3502002,3512605
265,3523107,3505708,3547809,3515004,3519071,3516309
266,3523206,3535507,3546405,3522703,3541604,3502101
267,3523305,3555109,3517505,3557204,3529807,3517703
268,3523404,3534708,3511102,3551702,3528502,3507605
269,3523503,3511003,3535804,3529906,3526100,3535606
270,3523602,3518503,3521309,3521903,3507407,3526001
271,3523701,3535705,3521150,3521101,3546504,3553203
272,3523800,3500402,3546900,3554953,3553104,3548104
273,3523909,3538006,3504107,3507605,3525300,3510500
274,3524006,3503802,3501707,3502507,3550605,3528502
275,3524105,3550100,3550407,3541604,3541505,3536703
276,3524204,3547007,3512506,3537701,3553856,3517307
277,3524303,3506102,3539301,3555000,3515509,3555406
278,3524402,3526902,3543907,3541406,3554102,3511102
279,3524501,3533254,3548203,3506409,3545407,3511904
280,3524600,3537008,3526100,3535606,3543006,3550902
281,3524709,3531100,3511508,3537107,3515103,3551504
282,3524808,3549409,3549706,3540200,3531308,3502903
283,3524907,3505104,3553906,3527702,3500758,3536802
284,3525003,3539806,3515707,3529401,3523107,3505708
285,3525102,3552106,3539509,3514403,3516705,3540606
286,3525201,3551603,3512209,3548005,3546603,3518602
287,3525300,3503307,3538006,3530706,3506508,3554003
288,3525409,3543600,3505005,3551306,3528908,3531001
289,3525508,3552601,3539400,3506805,3504206,3543709
290,3525607,3522653,3509809,3528205,3539707,3552551
291,3525706,3513702,3500709,3533502,3522703,3537909
292,3525805,3548401,3520608,3532702,3554904,3500758
293,3525854,3553104,3533304,3504701,3500402,3523800
294,3525904,3549805,3520509,3513009,3513504,3522208
295,3526001,3547700,3518503,3511409,3523602,3512308
296,3526100,3535606,3537008,3524600,3543006,3544251
297,3526209,3538808,3509254,3520103,3539202,3550407
298,3526308,3516853,3539608,3534005,3544608,3532108
299,3526407,3538600,3501301,3505203,3500303,3527405
300,3526506,3519105,3516903,3541703,3544202,3542503
301,3526605,3514304,3539905,3555802,3535705,3553203
302,3526704,3508504,3510500,3513405,3504008,3554003
303,3526803,3530508,3537305,3519600,3505906,3519709
304,3526902,3554102,3516200,3524402,3506003,3541406
305,3527009,3535101,3504602,3557303,3539103,3502754
306,3527108,3522604,3515509,3506359,3555406,3529302
307,3527207,3550704,3557105,3504008,3537602,3530805
308,3527256,3549201,3516507,3513850,3537156,3547650
309,3527306,3503901,3533403,3545209,3556701,3500600
310,3527405,3517505,3531506,3501301,3538600,3523305
311,3527504,3533809,3510906,3529658,3555208,3547403
312,3527603,3550902,3536307,3528809,3543006,3537008
313,3527702,3515608,3501400,3524907,3500808,3505104
314,3527801,3530409,3546207,3535903,3507159,3541059
315,3527900,3503356,3515806,3536570,3532868,3507456
316,3528007,3542404,3538501,3531506,3520905,3556354
317,3528106,3534807,3549508,3532801,3519501,3521507
318,3528205,3539707,3532157,3552551,3522653,3525607
319,3528304,3506201,3542800,3515301,3501202,3536901
320,3528403,3521002,3540705,3505609,3505302,3554805
321,3528502,3550605,3551702,3524006,3504107,3513405
322,3528601,3554409,3555802,3556602,3548609,3514304
323,3528700,3532306,3512100,3549607,3505401,3538303
324,3528809,3527603,3536307,3542909,3550902,3516002
325,3528858,3507753,3514205,3529104,3530904,3554755
326,3528908,3543204,3543600,3540259,3551306,3525409
327,3529005,3548906,3503208,3502804,3538006,3523909
328,3529104,3514205,3554755,3503950,3507753,3528858
329,3529203,3507902,3502200,3521804,3542206,3502705
330,3529302,3501905,3522604,3549102,3527108,3522109
331,3529401,3525003,3539806,3515707,3548807,3534401
332,3529500,3503000,3507704,3530409,3527801,3516804
333,3529609,3522000,3500204,3508900,3508207,3508306
334,3529658,3555208,3527504,3510906,3533809,3513306
335,3529708,3540002,3502705,3537404,3502200,3524600
336,3529807,3553609,3509304,3520426,3555109,3504800
337,3529906,3535804,3511003,3508801,3523503,3508009
338,3530003,3515129,3515905,3541802,3544400,3554607
339,3530102,3510807,3556305,3518206,3538907,3547502
340,3530201,3521705,3508009,3501004,3513603,3508801
341,3530300,3507001,3531803,3554805,3540705,3528403
342,3530409,3527801,3546207,3541059,3507704,3535903
343,3530508,3526803,3505906,3537305,3519600,3519709
344,3530607,3506003,3516200,3526902,3554102,3513009
345,3530706,3503307,3525300,3518404,3538006,3502804
346,3530805,3549102,3522109,3527207,3529302,3501905
347,3530904,3551207,3507753,3528858,3536257,3516804
348,3531001,3525409,3513850,3527256,3551306,3518008
349,3531100,3524709,3511508,3551504,3537107,3515103
350,3531209,3542107,3503703,3556354,3532900,3538501
351,3531308,3540200,3534302,3518602,3524808,3546801
352,3531407,3553807,3510005,3539202,3536208,3514106
353,3531506,3527405,3520905,3528007,3542404,3517505
354,3531605,3508306,3532108,3534005,3517109,3541653
355,3531704,3532207,3533700,3541109,3543501,3512704
356,3531803,3507001,3530300,3554805,3540705,3513405
357,3531902,3542206,3521804,3529203,3520301,3502200
358,3532009,3553005,3556107,3538105,3556909,3514601
359,3532058,3518909,3516853,3528908,3540259,3543204
360,3532108,3534005,3508306,3531605,3517109,3539608
361,3532157,3539707,3528205,3515301,3516101,3534500
362,3532207,3531704,3543501,3533700,3500907,3540408
363,3532306,3512100,3505401,3502309,3528700,3552908
364,3532405,3536208,3517703,3508108,3546009,3551405
365,3532504,3537503,3521101,3555604,3554409,3521606
366,3532603,3532827,3519006,3543808,3542909,3528809
367,3532702,3554904,3520608,3536802,3500758,3548401
368,3532801,3509452,3528106,3542701,3536109,3521507
369,3532827,3519006,3542503,3519253,3532603,3543808
370,3532843,3546256,3503158,3513306,3515905,3530003
371,3532868,3507209,3515806,3503356,3536570,3555901
372,3532900,3503703,3556354,3520905,3531209,3542107
373,3533007,3535309,3553302,3511409,3508702,3547700
374,3533106,3540853,3504701,3525854,3531209,3553104
375,3533205,3554201,3512605,3512704,3541802,3541109
376,3533254,3548203,3524501,3506409,3511201,3548104
377,3533304,3548104,3554953,3553104,3525854,3523800
378,3533403,3536505,3527306,3556206,3545209,3547304
379,3533502,3522703,3525706,3535507,3500709,3546405
380,3533601,3542008,3547908,3544806,3503109,3536406
381,3533700,3541109,3512704,3531704,3520707,3500907
382,3533809,3527504,3547403,3540309,3510906,3516101
383,3533908,3537800,3542602,3502101,3536703,3505906
384,3534005,3532108,3531605,3508306,3517109,3541653
385,3534104,3555356,3507704,3536109,3534203,3541059
386,3534203,3534104,3515202,3555356,3507704,3529500
387,3534302,3518602,3531308,3556404,3544004,3545308
388,3534401,3548807,3510609,3529401,3513801,3525003
389,3534500,3516101,3540309,3547403,3543238,3546108
390,3534609,3502903,3519303,3551603,3540903,3525201
391,3534708,3523404,3511102,3531100,3528502,3524709
392,3534757,3540507,3552601,3543709,3506805,3544905
393,3534807,3549508,3528106,3520202,3521507,3542701
394,3534906,3556008,3504404,3535408,3517604,3517208
395,3535002,3510708,3544202,3541208,3506904,3517901
396,3535101,3504602,3527009,3557303,3502754,3539103
397,3535200,3515202,3543808,3551108,3536000,3534203
398,3535309,3533007,3553302,3511409,3547700,3508702
399,3535408,3552700,3545605,3556008,3534906,3517604
400,3535507,3546405,3522703,3533502,3523206,3541604
401,3535606,3526100,3537008,3544251,3543006,3524600
402,3535705,3553203,3546504,3523701,3521101,3521150
403,3535804,3529906,3511003,3523503,3508801,3508009
404,3535903,3507159,3527801,3530409,3546207,3529500
405,3536000,3551108,3535200,3554706,3543808,3542909
406,3536109,3555356,3534104,3545100,3542701,3541059
407,3536208,3532405,3508108,3517703,3540804,3553807
408,3536257,3503950,3529104,3514205,3530904,3551207
409,3536307,3550902,3527603,3528809,3543006,3537008
410,3536406,3518859,3542008,3519204,3544806,3533601
411,3536505,3547304,3533403,3556206,3545209,3513504
412,3536570,3503356,3532868,3515806,3555901,3507456
413,3536604,3552304,3519907,3550506,3553500,3517802
414,3536703,3550100,3524105,3533908,3502101,3537800
415,3536802,3500758,3554904,3532702,3520608,3548401
416,3536901,3506201,3528304,3557154,3515301,3542800
417,3537008,3543006,3544251,3535606,3550902,3524600
418,3537107,3515103,3524709,3512803,3531100,3511508
419,3537156,3516507,3549201,3527256,3551306,3513850
420,3537206,3517000,3517901,3550001,3504909,3506904
421,3537305,3519600,3526803,3553708,3530508,3540606
422,3537404,3502200,3502705,3521804,3529708,3507902
423,3537503,3521606,3532504,3521101,3555604,3540507
424,3537602,3527207,3540705,3508405,3550704,3528403
425,3537701,3553856,3517307,3512506,3524204,3547007
426,3537800,3542602,3533908,3505906,3536703,3516705
427,3537909,3514106,3520442,3509403,3513702,3547502
428,3538006,3525300,3523909,3503307,3530706,3506508
429,3538105,3511607,3532009,3514908,3556107,3553005
430,3538204,3522901,3511706,3553005,3511607,3532009
431,3538303,3549607,3507456,3557154,3545506,3536570
432,3538501,3556354,3528007,3520905,3503703,3542107
433,3538600,3501301,3526407,3527405,3520103,3517505
434,3538709,3548906,3503208,3529005,3541406,3554102
435,3538808,3526209,3539202,3509254,3520103,3510005
436,3538907,3556305,3553401,3530102,3537404,3540002
437,3539004,3541901,3511904,3513900,3551405,3546009
438,3539103,3512407,3535101,3504602,3515152,3527009
439,3539202,3538808,3509254,3526209,3510005,3531407
440,3539301,3524303,3506102,3555000,3537305,3515509
441,3539400,3525508,3506805,3504206,3552601,3543709
442,3539509,3552106,3525102,3514403,3500105,3520400
443,3539608,3544608,3517109,3526308,3532108,3534005
444,3539707,3528205,3532157,3501202,3522653,3542800
445,3539806,3515707,3525003,3529401,3523107,3505708
446,3539905,3526605,3520806,3553203,3535705,3546504
447,3540002,3529708,3502705,3537404,3538907,3502200
448,3540101,3522158,3541653,3547106,3531605,3534005
449,3540200,3531308,3524808,3534302,3549706,3518602
450,3540259,3543204,3528908,3502606,3543600,3532058
451,3540309,3547403,3534500,3516101,3533809,3546108
452,3540408,3502408,3500907,3501103,3503505,3520707
453,3540507,3534757,3537503,3521606,3555604,3544905
454,3540606,3553708,3514403,3519600,3525102,3537305
455,3540705,3528403,3530300,3507001,3554805,3531803
456,3540754,3509205,3512803,3537107,3515103,3524709
457,3540804,3508108,3553955,3551405,3536208,3546009
458,3540853,3533106,3504701,3525854,3531209,3553104
459,3540903,3551900,3510302,3505807,3503604,3534609
460,3541000,3518701,3551009,3552403,3501608,3548708
461,3541059,3545100,3530409,3546207,3507704,3527801
462,3541109,3533700,3512704,3520707,3531704,3500907
463,3541208,3535002,3506904,3517000,3537206,3517901
464,3541307,3517406,3510203,3522703,3546405,3500709
465,3541406,3543907,3524402,3507605,3511102,3523404
466,3541505,3541604,3550407,3524105,3533502,3525706
467,3541604,3541505,3524105,3533502,3550407,3535507
468,3541653,3540101,3522158,3534005,3531605,3532108
469,3541703,3506706,3544251,3526506,3544202,3543006
470,3541802,3515129,3530003,3512704,3515905,3541109
471,3541901,3546009,3551405,3539004,3553609,3520426
472,3542008,3544806,3533601,3503109,3545704,3536406
473,3542107,3503703,3531209,3556354,3532900,3538501
474,3542206,3520301,3529203,3531902,3521804,3507902
475,3542305,3552551,3503505,3501103,3502408,3540408
476,3542404,3528007,3531506,3501301,3538501,3527405
477,3542503,3519253,3532827,3513207,3519808,3516903
478,3542602,3537800,3505906,3533908,3519600,3516705
479,3542701,3521507,3536109,3532801,3534807,3555356
480,3542800,3528304,3506201,3501202,3515301,3539707
481,3542909,3516002,3528809,3532603,3522802,3536000
482,3543006,3537008,3544251,3550902,3506706,3536307
483,3543105,3545100,3509452,3546207,3541059,3548302
484,3543204,3540259,3528908,3502606,3543600,3505005
485,3543238,3546108,3534500,3549250,3547403,3555307
486,3543253,3519808,3547908,3513207,3533601,3503109
487,3543303,3556453,3516408,3522208,3509601,3544103
488,3543402,3549805,3525904,3549904,3552205,3530607
489,3543501,3505351,3532207,3531704,3500550,3533700
490,3543600,3505005,3525409,3528908,3502606,3543204
491,3543709,3506805,3520202,3534757,3554706,3552601
492,3543808,3535200,3519006,3551108,3515202,3532827
493,3543907,3541406,3524402,3507605,3511102,3523404
494,3544004,3546603,3512209,3556404,3518602,3534302
495,3544103,3556453,3543303,3516408,3522208,3552502
496,3544202,3510708,3535002,3519105,3506904,3541703
497,3544251,3543006,3506706,3537008,3535606,3541703
498,3544301,3545159,3549953,3538501,3514601,3556107
499,3544400,3544509,3554607,3510906,3515905,3530003
500,3544509,3544400,3554607,3510906,3503505,3527504
501,3544608,3539608,3516606,3526308,3517109,3532108
502,3544707,3503158,3515657,3547106,3500204,3549300
503,3544806,3542008,3519204,3518909,3545704,3533601
504,3544905,3555604,3540507,3504404,3552601,3534757
505,3545001,3517604,3508702,3512308,3515400,3511409
506,3545100,3541059,3546207,3555356,3530409,3543105
507,3545159,3544301,3514601,3556107,3510153,3549953
508,3545209,3556206,3513504,3503901,3527306,3536505
509,3545308,3556404,3534302,3544004,3546801,3518602
510,3545407,3513900,3506409,3511904,3511300,3524501
511,3545506,3522653,3501202,3509809,3542800,3504305
512,3545605,3552700,3535408,3553955,3514502,3519402
513,3545704,3503109,3547908,3518909,3542008,3544806
514,3545803,3557006,3513009,3547304,3520509,3536505
515,3546009,3541901,3551405,3508108,3539004,3553609
516,3546108,3543238,3555307,3547403,3534500,3540309
517,3546207,3527801,3507159,3530409,3541059,3545100
518,3546256,3532843,3513306,3515905,3530003,3503158
519,3546306,3508603,3513108,3519303,3518305,3515186
520,3546405,3535507,3522703,3533502,3523206,3541307
521,3546504,3553203,3535705,3521150,3523701,3507308
522,3546603,3544004,3512209,3525201,3502754,3548005
523,3546702,3502507,3520004,3500501,3554805,3507100
524,3546801,3545308,3510401,3531308,3556404,3501905
525,3546900,3500402,3523800,3514007,3520426,3509304
526,3547007,3512506,3553856,3501806,3524204,3537701
527,3547106,3522158,3549300,3540101,3500204,3522000
528,3547205,3555307,3549250,3546108,3543238,3547403
529,3547304,3536505,3556206,3545803,3533403,3545209
530,3547403,3540309,3534500,3516101,3546108,3533809
531,3547502,3553401,3510807,3509403,3520442,3530102
532,3547601,3507803,3511607,3556800,3514908,3538105
533,3547650,3513850,3527256,3549201,3516507,3549300
534,3547700,3511409,3526001,3533007,3535309,3512308
535,3547809,3505708,3515004,3523107,3519071,3516309
536,3547908,3503109,3543253,3533601,3545704,3542008
